,vessel_id,vessel_type_new,timestamp,timestamp_epoch,latitude,longitude,speed_knots,in_anchorage,in_port_boundary,safety_score,dwt,fuel_category,main_engine_fuel_type,aux_engine_fuel_type,boil_engine_fuel_type,engine_type,mep,vref,sfc_me,sfc_ae,sfc_ab,ael,abl ,movement_mode
0,10498900,Chemical/Products Tanker,2025/03/29 19:02:27+00,1743274947,1.331666667,104.66,12.59,,Singapore,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Maneuver
1,10498900,Chemical/Products Tanker,2025/03/29 20:02:27+00,1743278547,1.28,104.8616667,12.47,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
2,10498900,Chemical/Products Tanker,2025/03/29 21:02:28+00,1743282148,1.155,105.0266667,12.55,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
3,10498900,Chemical/Products Tanker,2025/03/29 22:02:25+00,1743285745,1.015,105.18,12.47,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
4,10498900,Chemical/Products Tanker,2025/03/29 23:02:27+00,1743289347,0.865,105.3233333,12.52,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
5,10498900,Chemical/Products Tanker,2025/03/30 00:02:27+00,1743292947,0.743333333,105.49,11.95,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
6,10498900,Chemical/Products Tanker,2025/03/30 01:02:29+00,1743296549,0.623333333,105.6483333,12.17,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
7,10498900,Chemical/Products Tanker,2025/03/30 02:08:28+00,1743300508,0.466666667,105.81,12.45,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
8,10498900,Chemical/Products Tanker,2025/03/30 03:08:28.076+00,1743304108,0.303333333,105.9366667,11.99,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
9,10498900,Chemical/Products Tanker,2025/03/30 04:02:28+00,1743307348,0.185,106.0733333,12.02,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
10,10498900,Chemical/Products Tanker,2025/03/30 05:02:27+00,1743310947,0.05,106.22,11.78,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
11,10498900,Chemical/Products Tanker,2025/03/30 06:02:32+00,1743314552,-0.085,106.3616667,11.97,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
12,10498900,Chemical/Products Tanker,2025/03/30 07:05:26+00,1743318326,-0.228333333,106.515,12.16,,,4,40483,2,Methanol,DISTILLATE FUEL,DISTILLATE FUEL,SSD,5050,13.23,156.7,209.1,300,746,125,Transit
